PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,AgeGroup
67,0,1,male,46.3,0,1,55.54,C,2,0,Adult
68,0,3,male,29.3,0,1,16.94,S,2,0,Young Adult
69,1,1,female,33.3,0,0,100.83250000000001,C,1,1,Young Adult
70,1,3,male,28.7,0,1,14.67,S,2,0,Young Adult
71,0,3,male,32.4,0,0,15.61,S,1,1,Young Adult
72,0,1,male,28.7,0,3,100.83250000000001,S,4,0,Young Adult
73,1,1,male,36.9,0,0,100.83250000000001,C,1,1,Adult
74,0,3,male,4.3,0,3,15.68,S,4,0,Child
75,0,3,male,39.5,0,0,24.61,S,1,1,Adult
76,1,3,female,34.3,0,0,6.6,S,1,1,Young Adult
77,0,3,male,47.1,1,0,8.0,S,2,0,Adult
78,0,1,male,38.4,0,4,100.83250000000001,S,5,0,Adult
79,0,2,male,27.1,0,1,38.65,Q,2,0,Young Adult
80,1,1,female,11.9,0,0,94.38,S,1,1,Child
81,1,3,female,28.7,1,0,21.04,C,2,0,Young Adult
82,0,3,female,17.1,0,0,4.0,S,1,1,Teen
83,1,2,male,20.9,0,0,40.85,S,1,1,Young Adult
84,1,1,male,37.2,0,0,65.35,S,1,1,Adult
85,1,2,male,28.7,1,0,17.61,S,2,0,Young Adult
86,1,2,male,34.5,2,1,12.91,C,4,0,Young Adult
87,0,3,male,12.3,0,0,7.04,S,1,1,Teen
88,0,3,male,35.2,1,1,14.47,S,3,0,Adult
89,1,3,male,28.7,2,0,7.43,S,3,0,Young Adult
90,1,3,male,20.5,2,0,13.91,Q,3,0,Young Adult
91,1,1,female,28.7,0,0,100.83250000000001,S,1,1,Young Adult
92,0,3,male,29.2,0,0,13.14,S,1,1,Young Adult
93,1,3,male,18.0,0,0,8.84,S,1,1,Teen
94,1,3,female,38.1,1,0,33.7,S,2,0,Adult
95,0,3,male,27.3,0,0,14.57,S,1,1,Young Adult
96,0,3,female,34.9,0,0,10.6,C,1,1,Young Adult
97,0,3,male,16.6,0,0,13.9,S,1,1,Teen
98,0,2,male,22.9,1,0,33.84,S,2,0,Young Adult
99,0,1,female,39.1,1,1,29.5,S,3,0,Adult
100,1,1,female,23.8,0,2,100.83250000000001,S,3,0,Young Adult
101,1,1,female,53.2,1,0,87.63,S,2,0,Adult
102,0,3,male,28.7,0,0,11.72,Q,1,1,Young Adult
103,1,2,male,32.1,1,0,23.46,C,2,0,Young Adult
104,0,3,male,28.7,0,2,7.24,C,3,0,Young Adult
105,0,3,male,9.1,0,0,15.04,C,1,1,Child
106,1,2,female,4.3,2,0,20.05,S,3,0,Child
107,0,2,male,7.6,0,0,23.04,S,1,1,Child
108,0,3,female,46.7,1,0,18.27,S,2,0,Adult
109,1,1,male,21.3,0,0,75.45,S,1,1,Young Adult
110,1,1,male,64.8,0,1,100.83250000000001,S,2,0,Senior
111,0,2,male,21.1,0,0,19.89,S,1,1,Young Adult
112,0,1,female,31.6,0,0,87.4,S,1,1,Young Adult
113,0,3,female,28.7,0,0,7.31,C,1,1,Young Adult
114,0,3,female,57.1,0,0,10.39,C,1,1,Adult
115,1,3,female,57.9,0,2,5.88,Q,3,0,Adult
116,1,3,female,45.9,0,0,17.03,S,1,1,Adult
117,1,3,female,43.3,3,1,16.99,S,5,0,Adult
118,1,1,male,37.3,3,0,63.82,S,4,0,Adult
119,0,3,male,28.7,0,0,10.87,S,1,1,Young Adult
120,0,3,male,21.3,1,2,15.27,S,4,0,Young Adult
121,0,3,female,17.5,0,0,19.96,S,1,1,Teen
122,1,3,female,29.0,0,1,8.36,S,2,0,Young Adult
123,1,2,male,26.6,1,0,21.28,S,2,0,Young Adult
124,1,1,female,22.7,2,1,100.83250000000001,S,4,0,Young Adult
125,1,1,female,28.7,0,0,42.24,S,1,1,Young Adult
126,0,2,male,42.4,1,0,15.64,S,2,0,Adult
127,0,3,male,30.2,0,1,8.67,S,2,0,Young Adult
128,0,3,female,28.7,5,2,18.92,S,8,0,Young Adult
129,0,1,male,13.0,0,2,100.83250000000001,S,3,0,Teen
130,1,3,female,26.3,0,1,14.2,S,2,0,Young Adult
131,1,2,male,19.0,0,1,19.07,C,2,0,Young Adult
132,1,1,female,2.9,1,0,100.83250000000001,C,2,0,Child
133,1,1,female,28.7,0,0,100.83250000000001,S,1,1,Young Adult
134,0,2,female,27.3,2,0,17.73,S,3,0,Young Adult
135,0,3,male,28.7,0,0,17.98,S,1,1,Young Adult
136,1,2,female,37.8,0,0,13.07,S,1,1,Adult
137,1,3,female,28.7,0,0,8.62,S,1,1,Young Adult
138,0,3,male,55.0,0,0,18.74,S,1,1,Adult
139,0,2,female,46.1,0,0,24.57,S,1,1,Adult
140,1,3,male,37.1,0,0,34.36,S,1,1,Adult
141,0,3,male,25.8,0,0,8.22,S,1,1,Young Adult
142,0,2,male,15.6,0,0,18.37,S,1,1,Teen
143,0,3,male,23.8,0,1,7.07,C,2,0,Young Adult
144,1,2,male,44.2,1,0,20.84,S,2,0,Adult
145,1,2,female,55.4,1,0,14.39,S,2,0,Adult
146,0,1,male,50.6,0,0,100.83250000000001,Q,1,1,Adult
147,1,3,female,22.2,0,0,36.67,Q,1,1,Young Adult
148,0,3,male,13.3,0,0,12.15,S,1,1,Teen
149,0,1,male,31.0,0,0,84.03,S,1,1,Young Adult
150,0,2,male,4.2,0,0,18.03,S,1,1,Child
151,1,3,female,33.5,0,0,15.31,S,1,1,Young Adult
152,0,1,male,28.7,0,0,83.39,C,1,1,Young Adult
153,1,1,male,28.7,0,2,78.05,Q,3,0,Young Adult
154,0,3,female,6.7,0,2,22.15,S,3,0,Child
155,0,3,male,36.2,1,0,10.26,S,2,0,Adult
156,1,2,male,28.7,3,0,20.94,S,4,0,Young Adult
157,0,3,male,12.6,0,0,5.62,S,1,1,Teen
158,0,3,female,0.5,0,0,9.31,C,1,1,Child
159,1,1,male,28.6,1,2,38.26,C,4,0,Young Adult
160,1,3,female,53.8,2,0,6.42,S,3,0,Adult
161,1,2,male,28.7,0,1,13.7,S,2,0,Young Adult
162,0,3,female,22.6,0,0,13.31,S,1,1,Young Adult
163,0,3,female,20.6,0,3,10.83,S,4,0,Young Adult
164,0,3,female,35.6,0,0,10.59,C,1,1,Adult
165,0,1,male,15.0,0,1,34.3,S,2,0,Teen
166,0,3,female,33.2,0,0,9.96,S,1,1,Young Adult
167,1,2,male,39.7,0,0,8.66,S,1,1,Adult
168,1,1,male,46.2,0,0,59.63,C,1,1,Adult
169,0,1,male,27.6,1,0,54.27,S,2,0,Young Adult
170,0,3,female,26.1,0,2,14.15,C,3,0,Young Adult
171,0,3,female,16.7,0,2,9.13,C,3,0,Teen
172,1,1,female,28.7,0,1,90.34,Q,2,0,Young Adult
173,0,3,male,28.7,0,0,16.64,S,1,1,Young Adult
174,1,1,male,34.1,3,1,71.05,S,5,0,Young Adult
175,0,3,female,41.8,0,0,7.26,S,1,1,Adult
176,1,1,male,17.8,0,0,66.42,S,1,1,Teen
177,0,3,male,49.9,1,0,5.52,S,2,0,Adult
178,0,2,male,25.2,0,0,38.71,S,1,1,Young Adult
179,0,3,male,28.7,1,0,18.38,S,2,0,Young Adult
180,1,1,male,18.5,0,0,68.77,C,1,1,Young Adult
181,0,2,male,0.5,0,0,41.9,S,1,1,Child
182,0,1,male,28.7,0,1,77.29,S,2,0,Young Adult
183,0,3,male,39.3,0,0,4.56,C,1,1,Adult
184,0,3,female,25.1,1,0,5.12,C,2,0,Young Adult
185,1,2,male,29.9,1,0,23.06,C,2,0,Young Adult
186,0,3,male,36.2,0,0,26.76,C,1,1,Adult
187,0,3,female,7.1,0,0,9.13,Q,1,1,Child
188,0,3,male,21.6,1,0,19.18,S,2,0,Young Adult
189,0,3,female,28.7,2,0,15.69,S,3,0,Young Adult
190,1,2,female,11.4,0,0,46.29,S,1,1,Child
191,1,1,male,33.1,0,0,97.71,S,1,1,Young Adult
192,0,3,male,28.7,0,1,4.93,S,2,0,Young Adult
193,1,3,female,28.7,1,0,22.01,S,2,0,Young Adult
194,0,3,female,28.5,0,0,4.53,S,1,1,Young Adult
195,0,2,male,28.7,0,1,25.39,S,2,0,Young Adult
196,1,2,male,45.3,1,0,19.4,S,2,0,Adult
197,0,3,male,18.7,0,0,9.68,C,1,1,Young Adult
198,0,3,female,17.7,0,1,14.26,S,2,0,Teen
199,0,3,male,31.8,0,0,8.68,C,1,1,Young Adult
200,0,3,female,45.1,0,0,14.85,S,1,1,Adult
201,0,3,male,14.8,0,0,13.07,Q,1,1,Teen
202,0,1,male,28.7,0,0,98.07,C,1,1,Young Adult
203,1,1,male,35.0,0,0,90.56,S,1,1,Young Adult
204,1,3,male,38.7,0,0,12.36,S,1,1,Adult
205,0,3,male,31.5,1,0,15.11,S,2,0,Young Adult
206,0,1,male,23.9,1,0,100.83250000000001,Q,2,0,Young Adult
207,1,1,male,17.4,0,0,74.51,C,1,1,Teen
208,0,3,female,28.7,0,0,22.84,C,1,1,Young Adult
209,1,1,male,28.7,0,0,100.83250000000001,S,1,1,Young Adult
210,1,1,male,0.5,0,0,100.83250000000001,S,1,1,Child
211,1,3,female,35.1,0,0,15.17,C,1,1,Adult
212,1,3,female,28.7,0,2,28.53,S,3,0,Young Adult
213,1,3,female,0.5,0,0,11.96,S,1,1,Child
214,1,1,female,14.9,0,0,57.98,S,1,1,Teen
215,0,3,male,37.7,0,0,26.68,Q,1,1,Adult
216,1,1,male,57.8,1,0,53.23,S,2,0,Adult
217,1,2,female,28.7,0,2,19.1,S,3,0,Young Adult
218,1,3,female,18.8,0,0,19.82,S,1,1,Young Adult
219,0,3,male,26.4,0,2,7.67,C,3,0,Young Adult
220,1,3,female,48.2,1,0,8.72,S,2,0,Adult
221,0,3,male,20.0,1,0,9.37,S,2,0,Young Adult
222,0,3,male,28.7,0,0,4.87,S,1,1,Young Adult
223,0,1,male,22.2,0,1,100.83250000000001,C,2,0,Young Adult
224,0,2,male,15.7,0,0,31.42,Q,1,1,Teen
225,0,2,male,30.7,0,0,32.92,C,1,1,Young Adult
226,0,2,male,51.7,0,0,25.15,S,1,1,Adult
227,1,3,female,33.5,1,0,19.33,C,2,0,Young Adult
228,1,2,male,25.5,0,2,27.54,S,3,0,Young Adult
229,0,3,male,24.9,1,0,8.56,S,2,0,Young Adult
230,0,3,female,7.1,0,0,14.58,S,1,1,Child
231,1,3,female,41.4,0,0,12.7,S,1,1,Adult
232,0,3,female,27.9,1,0,25.56,C,2,0,Young Adult
233,1,3,female,26.5,0,2,7.27,S,3,0,Young Adult
234,1,3,female,28.7,0,0,11.29,S,1,1,Young Adult
235,1,1,male,33.2,0,0,100.83250000000001,S,1,1,Young Adult
236,0,3,male,18.5,0,1,12.46,S,2,0,Young Adult
237,1,2,male,23.0,5,0,22.18,S,6,0,Young Adult
238,1,1,male,45.1,0,0,74.87,S,1,1,Adult
239,0,3,male,30.6,4,0,10.15,S,5,0,Young Adult
240,1,1,female,8.9,3,0,100.83250000000001,S,4,0,Child
241,0,3,male,41.9,1,0,24.01,S,2,0,Adult
242,1,3,male,19.6,0,2,15.59,C,3,0,Young Adult
243,0,3,male,55.2,0,0,11.37,S,1,1,Adult
244,1,2,female,44.1,1,0,40.03,C,2,0,Adult
245,1,1,male,22.7,0,2,100.83250000000001,Q,3,0,Young Adult
246,1,3,female,46.9,0,0,13.65,C,1,1,Adult
247,0,2,male,29.9,0,0,18.78,S,1,1,Young Adult
248,0,3,male,40.9,0,0,16.22,S,1,1,Adult
249,0,3,male,35.8,0,2,7.92,Q,3,0,Adult
250,1,3,female,17.2,0,0,6.0,S,1,1,Teen
251,0,2,male,20.0,0,1,24.72,S,2,0,Young Adult
252,1,2,female,28.7,1,1,14.07,S,3,0,Young Adult
253,0,3,male,24.3,0,0,58.64,S,1,1,Young Adult
254,0,2,male,23.3,2,0,30.47,Q,3,0,Young Adult
255,1,1,female,15.6,1,1,100.83250000000001,S,3,0,Teen
256,0,3,female,28.7,1,0,9.53,S,2,0,Young Adult
257,1,3,female,57.9,0,1,11.3,S,2,0,Adult
258,0,3,female,14.1,1,2,8.9,S,4,0,Teen
259,0,3,female,28.7,0,0,30.41,S,1,1,Young Adult
260,1,1,female,48.8,1,0,100.83250000000001,S,2,0,Adult
261,1,3,female,27.9,0,1,9.49,S,2,0,Young Adult
262,1,3,female,28.7,1,1,11.8,S,3,0,Young Adult
263,1,1,female,14.1,5,0,100.83250000000001,C,6,0,Teen
264,0,3,male,35.0,0,0,19.65,S,1,1,Young Adult
265,1,3,female,26.4,0,0,6.06,S,1,1,Young Adult
266,0,3,male,42.8,1,0,7.48,S,2,0,Adult
267,1,3,female,28.7,0,0,8.24,S,1,1,Young Adult
268,0,3,female,28.7,1,0,9.78,C,2,0,Young Adult
269,0,2,male,28.7,0,0,14.38,C,1,1,Young Adult
270,0,2,female,28.7,0,0,57.64,S,1,1,Young Adult
271,1,3,male,31.7,3,0,17.6,S,4,0,Young Adult
272,0,3,male,24.1,0,0,19.13,C,1,1,Young Adult
273,0,3,female,33.7,1,0,10.35,S,2,0,Young Adult
274,0,3,male,24.9,0,0,5.38,S,1,1,Young Adult
275,0,3,female,28.7,0,0,7.24,Q,1,1,Young Adult
276,0,3,female,47.4,0,0,9.39,S,1,1,Adult
277,0,3,male,14.9,0,0,6.54,Q,1,1,Teen
278,0,3,male,45.0,1,0,21.55,S,2,0,Adult
279,1,3,male,47.4,0,2,6.75,S,3,0,Adult
280,0,3,male,27.3,0,0,16.59,S,1,1,Young Adult
281,1,3,female,0.5,0,2,5.25,S,3,0,Child
282,0,2,male,20.5,1,0,24.18,S,2,0,Young Adult
283,0,2,male,47.2,0,0,33.39,S,1,1,Adult
284,0,1,male,28.7,1,2,100.83250000000001,S,4,0,Young Adult
285,0,3,male,15.0,0,0,6.92,S,1,1,Teen
286,1,1,female,21.9,0,0,100.83250000000001,S,1,1,Young Adult
287,0,3,male,40.8,1,0,10.12,S,2,0,Adult
288,1,3,female,36.7,0,0,11.29,S,1,1,Adult
289,1,2,male,25.7,0,0,28.77,S,1,1,Young Adult
290,1,3,female,23.9,0,0,10.35,S,1,1,Young Adult
291,1,1,male,23.5,0,0,100.83250000000001,S,1,1,Young Adult
292,1,1,male,16.1,1,0,60.06,S,2,0,Teen
293,0,3,female,28.7,0,3,20.02,S,4,0,Young Adult
294,0,2,male,24.5,1,0,28.08,C,2,0,Young Adult
295,0,1,female,46.0,0,0,34.36,S,1,1,Adult
296,1,3,female,50.3,0,1,6.9,S,2,0,Adult
297,0,3,male,28.7,2,0,7.26,C,3,0,Young Adult
298,0,1,male,23.0,0,0,75.46,S,1,1,Young Adult
299,0,3,female,34.7,0,0,14.77,S,1,1,Young Adult
300,0,1,male,28.7,0,0,100.83250000000001,C,1,1,Young Adult
301,0,1,male,16.3,0,0,66.34,S,1,1,Teen
302,1,3,male,33.5,0,1,4.34,C,2,0,Young Adult
303,0,3,male,12.5,0,3,17.76,S,4,0,Teen
304,1,3,male,45.6,0,0,13.72,S,1,1,Adult
305,1,3,female,28.7,0,0,7.4,Q,1,1,Young Adult
306,0,3,female,31.8,0,0,5.95,S,1,1,Young Adult
307,1,3,female,28.7,0,0,12.94,S,1,1,Young Adult
308,1,2,female,25.4,0,2,55.39,S,3,0,Young Adult
309,0,3,male,37.2,0,0,10.87,S,1,1,Adult
310,0,2,female,28.7,3,0,39.92,S,4,0,Young Adult
311,1,2,male,28.7,0,1,21.06,S,2,0,Young Adult
312,0,1,male,28.7,1,0,85.17,S,2,0,Young Adult
313,1,1,male,30.8,0,0,100.83250000000001,S,1,1,Young Adult
314,0,3,male,56.1,0,0,15.95,S,1,1,Adult
315,1,3,female,15.0,0,1,22.45,S,2,0,Teen
316,1,3,female,28.7,0,0,15.43,S,1,1,Young Adult
317,1,2,male,28.7,0,1,26.84,Q,2,0,Young Adult
318,1,1,male,28.7,0,0,68.17,S,1,1,Young Adult
319,0,1,female,28.7,0,1,100.83250000000001,S,2,0,Young Adult
320,0,2,male,35.8,2,1,17.22,C,4,0,Adult
321,0,3,male,37.9,0,0,16.94,C,1,1,Adult
322,0,3,male,44.5,0,0,18.16,S,1,1,Adult
323,1,3,female,28.7,1,0,13.3,C,2,0,Young Adult
324,0,2,female,25.6,0,0,32.29,S,1,1,Young Adult
325,0,3,male,38.4,0,0,29.76,C,1,1,Adult
326,0,3,male,55.6,1,0,9.89,S,2,0,Adult
327,1,3,female,27.1,1,0,16.47,S,2,0,Young Adult
328,0,3,female,28.7,1,0,12.49,S,2,0,Young Adult
329,0,2,male,44.5,0,0,22.93,C,1,1,Adult
330,0,2,female,27.3,0,0,33.36,S,1,1,Young Adult
331,1,2,male,0.5,2,0,25.3,S,3,0,Child
332,1,3,male,40.9,0,1,23.4,S,2,0,Adult
333,1,1,female,21.5,0,0,100.83250000000001,C,1,1,Young Adult
334,0,1,male,27.7,0,0,85.38,C,1,1,Young Adult
335,1,1,male,33.6,0,2,100.83250000000001,S,3,0,Young Adult
336,1,1,male,31.7,0,0,100.83250000000001,S,1,1,Young Adult
337,0,3,male,38.9,0,2,43.39,S,3,0,Adult
338,0,3,female,22.9,0,0,12.61,S,1,1,Young Adult
339,0,3,male,36.2,0,0,28.51,Q,1,1,Adult
340,1,1,female,28.7,1,0,46.97,S,2,0,Young Adult
341,0,3,male,39.3,0,0,6.01,S,1,1,Adult
342,0,3,male,37.6,0,0,19.06,S,1,1,Adult
343,1,1,male,15.9,0,0,100.83250000000001,S,1,1,Teen
344,1,2,female,44.2,0,0,15.28,S,1,1,Adult
345,0,2,male,21.5,0,0,23.71,S,1,1,Young Adult
346,1,3,female,28.7,0,0,15.65,S,1,1,Young Adult
347,0,3,male,34.1,1,0,12.25,S,2,0,Young Adult
348,1,1,female,28.7,2,0,14.02,S,3,0,Young Adult
349,1,2,male,25.9,0,0,24.05,S,1,1,Young Adult
350,0,3,female,28.7,0,2,16.26,S,3,0,Young Adult
351,0,3,female,28.7,0,0,8.75,C,1,1,Young Adult
352,0,3,female,24.8,1,2,14.67,S,4,0,Young Adult
353,1,3,female,40.2,1,1,20.89,S,3,0,Adult
354,0,1,female,6.4,0,0,81.53,C,1,1,Child
355,1,1,male,14.2,0,0,54.82,S,1,1,Teen
356,0,3,male,14.1,1,0,15.52,S,2,0,Teen
357,0,1,male,42.3,0,0,72.09,S,1,1,Adult
358,1,3,female,28.7,0,0,18.9,S,1,1,Young Adult
359,0,3,male,27.5,0,0,7.34,S,1,1,Young Adult
360,0,3,female,28.7,0,0,9.35,S,1,1,Young Adult
361,1,2,male,30.0,1,0,21.79,C,2,0,Young Adult
362,0,3,male,45.3,2,0,7.75,C,3,0,Adult
363,0,3,male,16.0,0,0,4.96,S,1,1,Teen
364,1,3,female,32.3,0,1,2.39,S,2,0,Young Adult
365,1,3,male,42.7,0,0,22.15,S,1,1,Adult
366,0,2,male,28.7,0,0,30.48,S,1,1,Young Adult
367,0,3,male,31.7,0,0,26.66,S,1,1,Young Adult
368,0,3,male,43.0,0,0,17.63,C,1,1,Adult
369,1,1,male,0.5,0,0,100.83250000000001,S,1,1,Child
370,1,1,male,38.5,0,0,79.84,Q,1,1,Adult
371,1,1,female,19.8,0,0,48.55,S,1,1,Young Adult
372,0,1,male,3.4,0,0,100.83250000000001,C,1,1,Child
373,0,1,male,36.2,0,2,54.35,S,3,0,Adult
374,0,3,male,48.2,0,2,7.46,S,3,0,Adult
375,1,1,male,27.1,4,0,100.83250000000001,S,5,0,Young Adult
376,0,2,male,28.7,0,0,36.78,S,1,1,Young Adult
377,0,3,male,51.6,0,0,11.61,S,1,1,Adult
378,1,1,male,47.4,1,0,91.26,S,2,0,Adult
379,0,3,male,52.0,5,0,12.95,S,6,0,Adult
380,1,2,female,28.7,0,0,12.84,S,1,1,Young Adult
381,1,1,female,30.1,1,2,100.83250000000001,C,4,0,Young Adult
382,0,3,female,6.6,0,0,22.4,S,1,1,Child
383,0,3,male,25.6,0,0,15.49,S,1,1,Young Adult
384,0,3,male,17.2,0,0,24.76,S,1,1,Teen
385,0,3,male,28.7,0,0,10.29,Q,1,1,Young Adult
386,0,3,male,26.5,1,0,17.25,S,2,0,Young Adult
387,1,2,female,30.7,0,3,18.5,S,4,0,Young Adult
388,0,1,male,36.7,0,0,73.44,S,1,1,Adult
389,0,3,male,29.6,0,0,7.06,C,1,1,Young Adult
390,0,3,male,28.7,0,0,16.3,C,1,1,Young Adult
391,1,3,female,20.3,0,0,15.77,S,1,1,Young Adult
392,0,2,male,28.7,1,0,20.51,S,2,0,Young Adult
393,0,2,male,18.6,1,0,18.34,S,2,0,Young Adult
394,0,3,male,10.5,1,0,15.67,S,2,0,Child
395,1,2,male,20.4,1,1,26.19,S,3,0,Young Adult
396,1,3,male,28.5,0,0,17.54,C,1,1,Young Adult
397,1,3,male,23.0,1,0,16.38,Q,2,0,Young Adult
398,0,2,male,19.3,0,0,9.44,S,1,1,Young Adult
399,0,3,male,9.3,0,1,9.44,S,2,0,Child
400,0,3,male,27.8,0,0,20.52,S,1,1,Young Adult
401,0,1,male,7.9,0,0,71.42,S,1,1,Child
402,0,3,male,28.7,0,0,6.11,C,1,1,Young Adult
403,0,3,female,30.2,0,0,13.61,S,1,1,Young Adult
404,1,3,female,8.6,1,0,6.85,S,2,0,Child
405,0,2,male,24.7,0,1,15.9,S,2,0,Young Adult
406,0,3,male,18.5,0,0,8.79,S,1,1,Young Adult
407,0,2,male,33.5,3,0,23.11,C,4,0,Young Adult
408,1,1,male,28.7,0,0,84.82,S,1,1,Young Adult
409,0,3,female,2.7,0,1,9.93,C,2,0,Child
410,0,1,male,30.6,0,0,53.72,S,1,1,Young Adult
411,1,2,female,26.8,0,0,19.48,C,1,1,Young Adult
412,0,3,male,28.7,0,0,20.57,S,1,1,Young Adult
413,0,3,male,32.0,0,0,2.93,C,1,1,Young Adult
414,1,3,female,18.5,0,0,10.44,S,1,1,Young Adult
415,1,3,female,24.5,0,0,26.38,S,1,1,Young Adult
416,1,2,female,28.7,0,0,43.36,S,1,1,Young Adult
417,1,2,female,44.1,0,0,19.8,S,1,1,Adult
418,0,2,male,29.3,0,0,18.12,S,1,1,Young Adult
419,1,3,female,55.6,1,0,6.55,S,2,0,Adult
420,0,3,male,28.2,0,0,15.75,Q,1,1,Young Adult
421,1,3,female,19.1,0,1,26.45,S,2,0,Young Adult
422,0,3,male,7.8,1,2,6.89,C,4,0,Child
423,1,1,female,28.7,0,3,100.83250000000001,Q,4,0,Young Adult
424,0,3,male,6.8,0,1,14.89,S,2,0,Child
425,0,1,male,32.7,0,0,100.83250000000001,S,1,1,Young Adult
426,0,3,male,36.1,1,0,15.81,S,2,0,Adult
427,1,2,female,28.7,1,0,31.55,S,2,0,Young Adult
428,0,3,male,28.7,0,0,15.58,S,1,1,Young Adult
429,1,2,male,22.2,1,0,22.99,Q,2,0,Young Adult
430,0,1,male,31.1,0,0,100.83250000000001,S,1,1,Young Adult
431,0,1,male,51.6,0,0,79.89,S,1,1,Adult
432,1,3,female,41.6,0,0,15.24,S,1,1,Adult
433,0,3,male,25.2,0,0,12.13,C,1,1,Young Adult
434,1,1,female,16.5,1,2,100.83250000000001,S,4,0,Teen
435,1,1,male,0.5,0,0,100.83250000000001,S,1,1,Child
436,0,3,male,18.9,0,0,13.49,S,1,1,Young Adult
437,1,1,female,26.0,2,2,98.22,S,5,0,Young Adult
438,1,3,female,28.7,0,0,19.28,Q,1,1,Young Adult
439,1,3,male,27.2,0,0,17.18,C,1,1,Young Adult
